1000 -3.00000
  21.75794 15.65907 27.89968 1
   5.13579  0.84055  9.02077 1
  16.54456 31.61496  3.19513 1
  14.37307 26.44160 20.61180 1
   9.23285  0.16804 15.52901 1
  25.14948 31.96087 11.12676 1
  14.89868 13.44549 20.80221 1
  17.92517  3.57328  9.08665 1
  27.08771 26.80045  8.33446 1
  16.70932 20.51553  0.66373 1
  15.87270 16.72503 30.56105 1
  14.95200  0.62540 21.56862 1
  26.44983 15.53240  7.10308 1
  16.87524 15.37711 19.15315 1
  18.98037 27.70610 24.92228 1
  10.82075 21.95725  4.79536 1
   5.87607 17.89668 23.41932 1
  15.94956 11.85683  2.21791 1
  30.15245 19.74819 23.27139 1
  18.89085 25.01011 19.79850 1
  12.65881 27.04448 25.95422 1
  27.61620 29.43579 26.09014 1
  17.59604 10.60874  8.68656 1
   3.98265 14.38372  3.62153 1
   2.93749 31.76869 29.25740 1
   3.56979 12.24493 28.36143 1
  14.66309  8.70498 17.57009 1
  25.39072 14.82527 18.02124 1
   2.66262 28.40919 22.15344 1
   6.60835  2.62215 18.52181 1
   2.10686 30.97556  6.34629 1
  16.86973 27.73797  5.42824 1
  21.83612 16.93284 24.52392 1
  31.39509 18.90060  0.43922 1
   9.44347 28.49018  9.39354 1
  28.41173 29.05149  3.98884 1
   5.57869 30.05890  7.40141 1
   5.82774 15.46992 29.92901 1
  16.45713 30.14620  8.48860 1
  15.64733  2.47940  2.77465 1
  19.38556 10.80308  4.25652 1
  25.02053  8.00188 15.49422 1
  31.70026 30.12962 23.32128 1
  31.95503  2.51444 10.69385 1
  28.19160  0.30385 22.15622 1
  20.72708  4.44269 20.50989 1
  27.61278  4.91373 28.50170 1
   3.81300 24.45983  3.09175 1
  30.38553  3.57465 20.09899 1
  25.58667 28.73756  1.16029 1
   5.82130  9.28233  9.03288 1
  31.49782  8.41314  6.29954 1
   4.90248 19.45861 12.61144 1
  25.25238  5.73991 10.81996 1
  27.05525 13.16942 13.20365 1
  13.94512 20.23113 30.24727 1
   9.06559  3.62637 22.21017 1
  24.80701 24.05719  7.95922 1
   9.22942 10.41020  0.65033 1
   4.09800  3.61774 23.78623 1
   6.06184 11.72285 14.48849 1
  17.80977 25.49391  2.86831 1
  25.60698 24.97166  4.30647 1
  26.67760 28.75733 13.72132 1
  19.07932  9.85727 11.92180 1
   4.83450 31.69703 24.71277 1
  28.92227 15.96389 30.87075 1
  27.74875 15.02786  2.64025 1
  13.04105 25.94177 11.94713 1
  19.07329 21.87312 31.04047 1
  25.20004 18.31977 26.65111 1
  27.71215  0.25256 18.19710 1
  24.26464 20.53866 21.84289 1
  11.97810  2.09126  5.47718 1
  10.15354 30.09081 12.42212 1
  20.01239 19.03829 28.17323 1
  16.36388 28.89908 12.18073 1
  27.80836 11.09372  5.11523 1
  11.98358 12.74709 30.54806 1
   3.87529 30.34592 18.55839 1
   9.38076 22.79184 10.76762 1
  24.82792 31.66288 15.11521 1
  29.50060  7.87824 30.68007 1
  16.69647 23.41896  8.47944 1
  16.95538  3.06817 13.46756 1
  26.34321 18.97582  6.51848 1
  20.84415 12.35162 14.80136 1
  14.29644 18.19244 16.96476 1
  16.12866  8.86875 27.10998 1
   1.68734  1.64283  1.69812 1
  10.34659 31.35225 21.49956 1
  20.05347  9.97345 23.52211 1
  10.60988  1.70747 18.90273 1
  27.78529  4.35680 17.58753 1
  14.39296 22.52596  6.29460 1
  29.23573 18.85482 20.85011 1
  10.15520 12.90325 22.08212 1
  25.33222 14.22001 22.58599 1
   7.37990 16.19481 20.47285 1
  21.90246 25.83777 31.91253 1
  27.76457 24.65783 16.92047 1
  23.37006 31.57567 24.40590 1
  29.30078 12.58092  0.24944 1
   6.66664 27.86629 16.24498 1
  12.28903  5.47752  2.61879 1
  17.34976 22.66102 23.47677 1
  31.95864 22.50262 22.28072 1
  24.78803 11.38190 16.46319 1
  28.81274 25.41266  4.38259 1
   3.89319 25.03335 31.96205 1
  15.08281 11.79130 12.59728 1
  29.34482 16.45229  9.81272 1
  29.40960 17.81716  3.68056 1
   7.42712 29.10442 21.08747 1
  26.02943 20.99433 18.86758 1
   1.09914 12.29767  3.99955 1
  29.70687  3.17671 24.24960 1
  17.63026  6.80713 10.89332 1
  30.49947  9.76269  2.80525 1
   7.82413  8.78518  4.05028 1
  11.94853  1.26394  1.59883 1
  31.77390 30.40251 17.95122 1
  27.09133 24.05564 22.57798 1
   6.06904  8.49397 17.31591 1
  17.77417 22.03801 16.59936 1
  19.26190 28.92544  1.54508 1
  17.82638 20.32833  5.17606 1
  19.51391 17.43729  8.21605 1
  27.43716  9.19204 28.19873 1
  10.87502  8.63166  6.94936 1
  11.60762 16.93059 27.58091 1
  29.24772 14.68152 25.10827 1
  15.71907 28.86749 27.00649 1
  16.29124  5.26206 31.33237 1
  22.29665  9.68374  0.33668 1
  23.88667  2.32291 31.49823 1
  19.26110 19.39941 22.53396 1
   4.22003 19.75106  4.50577 1
   1.54171 11.99962 25.00435 1
  14.04927 18.53286  2.78269 1
  25.75785  1.82326  5.51258 1
  19.34188  2.19035 15.22819 1
  23.37449  6.99294 19.47309 1
   8.87558 14.70494 26.78651 1
   2.45115 15.16661 15.24364 1
   8.76117  4.56403  3.72451 1
  24.70403 30.65341 19.16138 1
  12.86305 22.23479 26.53203 1
   1.17302 17.94575 11.86301 1
   6.40422 27.13820 29.65794 1
  11.19836  9.73300 27.99008 1
   8.27127 25.46295  2.20485 1
  28.45860  5.50658 13.75146 1
  26.62080  0.32711 29.45300 1
  13.28346 30.46695 11.04836 1
   9.28467 24.35800 30.59263 1
  14.43986  0.67076 18.61696 1
  13.58673 22.58361  2.40799 1
  15.20907 18.58840 20.27476 1
  15.16120 15.10205 14.76668 1
   9.53357 19.11059 12.79347 1
  16.25864 21.20140 13.08649 1
  18.38423 15.25590 12.26233 1
   3.29188 19.20256 27.94869 1
   9.62245  0.85540 30.46159 1
   1.87930  9.82703 16.11779 1
  12.75736 24.04850 15.95300 1
  30.51434 12.06427 27.78206 1
   1.06680 30.63421 10.59850 1
  28.44805 29.88778  8.75569 1
  24.46694 28.92363 28.85381 1
  30.79021 31.82689  2.51055 1
  24.96491 17.47211 23.00886 1
  24.19560 14.51788 11.36326 1
